,img,persons_70%
0,0.jpg,10
1,1.jpg,9
2,2.jpg,13
3,8.jpg,12
4,7.jpg,12
5,9.jpg,12
6,6.jpg,12
7,5.jpg,12
8,3.jpg,12
9,4.jpg,11
10,10.jpg,10
11,11.jpg,8
12,12.jpg,8
13,16.jpg,10
14,15.jpg,10
15,17.jpg,10
16,14.jpg,9
17,19.jpg,8
18,18.jpg,8
19,13.jpg,9
20,20.jpg,9
21,21.jpg,10
22,22.jpg,11
23,28.jpg,8
24,23.jpg,9
25,25.jpg,10
26,27.jpg,10
27,26.jpg,10
28,24.jpg,9
29,29.jpg,7
30,30.jpg,9
31,31.jpg,8
32,37.jpg,10
33,33.jpg,8
34,34.jpg,9
35,35.jpg,9
36,32.jpg,9
37,38.jpg,9
38,36.jpg,10
39,39.jpg,10
40,40.jpg,10
41,41.jpg,11
42,49.jpg,10
43,50.jpg,12
44,44.jpg,10
45,42.jpg,11
46,46.jpg,12
47,43.jpg,8
48,47.jpg,12
49,48.jpg,10
50,45.jpg,11
51,51.jpg,14
52,53.jpg,12
53,52.jpg,12
54,55.jpg,12
55,57.jpg,10
56,59.jpg,9
57,60.jpg,9
58,58.jpg,11
59,54.jpg,10
60,56.jpg,13
61,61.jpg,9
62,62.jpg,7
63,63.jpg,7
64,64.jpg,8
65,65.jpg,8
66,73.jpg,10
67,74.jpg,8
68,66.jpg,8
69,69.jpg,9
70,67.jpg,8
71,68.jpg,10
72,72.jpg,9
73,71.jpg,8
74,70.jpg,9
75,75.jpg,8
76,76.jpg,9
77,77.jpg,9
78,87.jpg,7
79,86.jpg,6
80,83.jpg,7
81,80.jpg,9
82,82.jpg,8
83,81.jpg,9
84,79.jpg,9
85,78.jpg,8
86,84.jpg,7
87,89.jpg,10
88,88.jpg,9
89,90.jpg,10
90,98.jpg,9
91,99.jpg,10
92,92.jpg,10
93,94.jpg,10
94,96.jpg,10
95,93.jpg,9
96,95.jpg,10
97,97.jpg,9
98,91.jpg,10
99,102.jpg,10
100,101.jpg,10
101,111.jpg,10
102,103.jpg,9
103,112.jpg,11
104,104.jpg,9
105,108.jpg,10
106,110.jpg,11
107,105.jpg,11
108,106.jpg,11
109,107.jpg,12
110,109.jpg,11
111,115.jpg,6
112,114.jpg,6
113,113.jpg,9
114,120.jpg,5
115,121.jpg,5
116,117.jpg,5
117,118.jpg,5
118,116.jpg,7
119,122.jpg,6
120,119.jpg,5
121,123.jpg,4
122,124.jpg,5
123,125.jpg,5
124,134.jpg,12
125,135.jpg,9
126,131.jpg,11
127,130.jpg,11
128,128.jpg,11
