Город;Население;Площадь, кв. км.;Плотность населения;Количество преступлений в год;Шанс стать жертвой преступления;Год основания;Количество парков;Индекс доступности рекреационных зон;Индекс Загрязнения;Средняя зарплата;Средние расходы;Условнопотребительская корзина(данные Госстата в региональном разрезе);Средняя стоимость жилья эконом класса на вторичном рынке, тыс $ domik.ua;Средняя стоимость однокомнатной квартиры в новострое, $ тыс. domik.ua;Средняя стоимость аренды однокомнатной квартиры , тыс. грн / мес domik.ua;Занятость населения трудоспособного возраста, %. Данные госстата в региональном разделе;"Количество школ в городе, которые вошли в топ-100 лучших щшкол журнала ""Фокус""";"Количество вузов в городе, которые вошли в рейтинг вузов ""Топ-200 Украина""";"Инвестиционная привлекательность города. Расчет рейтингово агенства ""Евро-рейтинг"".";"Данные муниципального опроса соц группы ""Рейтинг"" по качеству муниципальных услуг и городской инфраструктуры, баллы по 5 бальной шкале";"Данные муниципального опроса соц группы ""Рейтинг"" по удовлетворенности население работой мера города, баллы по 5 бальной шкале";Количество авиасообщений (подсчеты Фокуса);Количество ж/д сообщений (данные Укрзализницы);Количество проходящих через город трасс международного значения (подсчеты Фокуса);Количество предприятий имеющих КВЕД Образования (региональный показатель), шт;Количество частных школ в городе, шт;Количество школ в городах (данные по регионам 2016), шт;Количество внешкольных кружков (в разрезе областей), шт;Количество учеников в городских школах (региональній обзор - 2016);Количество учителей в городских школах (региональній обзор - 2016);Рейтинг всеукраинских Олимпиад (не литературных);Загрязненность воздуха. Выбросы (в килограммах) основных загрязненных веществ в атмосферу за 2017 год. В пересчете на одного проживающего на территории города человека. Данные Госстата;Уровень опасных отходо. Количество (в килограммах) опасных отходов I-III классов в 2017 году. В пересчете на одного проживающего на территории города человека.
Одесса;993120;162;0,16;17568;1,77;1794;21;4,73;13,1;15033;10568,3396;877;30;42;6;65,3;2;15;187;2,9;68;22;18;3;1920;26;304;4120;165645;12954;0,86;0,93;0,26
Полтава;284942;103;0,36;6645;2,33;899;11;2,59;5,2;13004;8725,6169;842,5;13;21;2,5;63,8;4;5;225;2,9;23;0;16;2;1602;3;188;2562;88029;7651;1,33;1,53;0,42
Ровно;243934;63;0,26;4376;1,79;1283;3;8,13;6,8;12425;6001,4682;799;15;22;3,2;57,8;3;3;147;3,1;33;0;10;1;1260;0;135;2230;69007;7013;0,94;1,01;0,28
Сумы;264753;95;0,36;3995;1,51;1652;3;8,83;5,7;10990;6923,826;838;13,5;16,5;3,2;65,6;1;3;125;2,9;40;0;7;0;1051;3;164;3466;70012;6240;1,03;2,16;0,6
Тернополь;216384;72;0,33;896;0,41;1540;7;3,09;3,5;10799;8239,7133;772;19;25;2,8;58,4;2;4;135;3,2;54;0;19;2;1540;0;136;1653;55982;6066;0,95;1,31;0,36
Харьков;1419000;350;0,25;30594;2,16;1654;14;10,14;3,3;11794;5873,2128;846;25;36;4,5;71;8;26;204;3,3;75;19;29;4;1897;18;398;7242;19461;15354;2,39;0,96;0,27
Херсон;289697;136;0,47;4786;1,65;1778;6;4,83;5,6;11044;9828,715;850;13;17;2,8;66,3;2;4;175;2,7;24;4;8;2;1151;1;146;1944;68624;6212;0,49;0,88;0,24
Хмельницкий;265693;90;0,34;58;0,02;1431;3;8,86;4,4;11669;4994,2464;825;11;22;2,5;63,2;1;3;131;3,1;58;0;27;1;1777;3;172;2500;85173;7911;1,09;1,37;0,38
Черкассы;279074;78;0,28;1931;0,69;1284;2;13,95;3,4;11216;4912,7832;829;14;20;2,8;67,5;3;2;141;3;54;0;4;0;1317;3;164;2631;69892;6575;1,55;0,97;0,27
Чернигов;285821;79;0,28;1886;0,66;907;2;14,29;3,4;11733;5455,6125;823;11;18;2,5;65,6;0;2;150;3,1;70;0;4;1;878;0;162;2078;66528;6605;0,79;1,07;0,3
Черновцы;262276;153;0,58;1311;0,5;1408;5;5,25;2,9;10407;7118,046;837;20;30;3;58;1;2;103;2,7;30;3;5;1;1248;3;108;1152;42879;4157;0,68;2,28;0,63
Винница;370834;113;0,31;5792;1,56;1362;5;7,42;4,4;12032;7772,349;816;18;25;3,5;63,9;0;4;183;3,6;68;4;34;2;1906;5;165;2440;90467;7957;0,57;1,2;0,33
